batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city
B-1000,Meat,Chilled,C,2026-02-05,2026-02-10,130,Refrigerated,Chicago
B-1001,Tomato,Fresh,A,2026-02-04,2026-02-18,106,Ambient,New York
B-1002,Milk,Chilled,B,2026-01-31,2026-02-07,236,Refrigerated,Los Angeles
B-1003,Milk,Chilled,C,2026-02-05,2026-02-12,128,Refrigerated,Houston
B-1004,Meat,Chilled,B,2026-02-08,2026-02-13,271,Refrigerated,New York
B-1005,Tomato,Fresh,A,2026-02-06,2026-02-20,366,Ambient,Houston
B-1006,Milk,Chilled,C,2026-02-08,2026-02-15,297,Refrigerated,Houston
B-1007,Fish,Chilled,C,2026-02-03,2026-02-08,328,Refrigerated,New York
B-1008,Fish,Chilled,C,2026-02-05,2026-02-10,230,Refrigerated,Los Angeles
B-1009,Milk,Chilled,A,2026-02-06,2026-02-13,207,Refrigerated,New York
B-1010,Milk,Chilled,B,2026-02-08,2026-02-15,66,Refrigerated,New York
B-1011,Tomato,Fresh,B,2026-02-08,2026-02-22,332,Ambient,Phoenix
B-1012,Meat,Chilled,C,2026-02-03,2026-02-08,191,Refrigerated,New York
B-1013,Meat,Chilled,B,2026-02-03,2026-02-08,328,Refrigerated,New York
B-1014,Milk,Chilled,A,2026-02-07,2026-02-14,300,Refrigerated,Chicago
B-1015,Onion,Fresh,C,2026-02-04,2026-02-18,287,Ambient,Chicago
B-1016,Onion,Fresh,C,2026-02-05,2026-02-19,371,Ambient,Chicago
B-1017,Fish,Chilled,C,2026-01-31,2026-02-05,456,Refrigerated,Chicago
B-1018,Onion,Fresh,A,2026-02-09,2026-02-23,470,Ambient,Phoenix
B-1019,Fish,Chilled,A,2026-01-31,2026-02-05,256,Refrigerated,Chicago
B-1020,Onion,Fresh,B,2026-02-01,2026-02-15,68,Ambient,Houston
B-1021,Tomato,Fresh,B,2026-02-02,2026-02-16,83,Ambient,Houston
B-1022,Fish,Chilled,A,2026-02-03,2026-02-08,192,Refrigerated,Houston
B-1023,Meat,Chilled,B,2026-02-08,2026-02-13,435,Refrigerated,Houston
B-1024,Onion,Fresh,A,2026-02-05,2026-02-19,397,Ambient,Houston
B-1025,Fish,Chilled,B,2026-02-08,2026-02-13,376,Refrigerated,Houston
B-1026,Tomato,Fresh,B,2026-02-02,2026-02-16,391,Ambient,Los Angeles
