batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city,route_id,distance_km,estimated_time_hours,route_type,current_freshness,days_in_storage,temperature,humidity,delay_factor,congestion_level,demand_score,shelf_life_days,days_used,days_remaining,expiry_urgency,spoilage_risk,priority_score
B-1000,Onion,Fresh,C,2026-02-05,2026-02-19,219,Ambient,Phoenix,R-1000,500,7.81,direct,13.7,9,15.7,66.9,1.8536,Medium,99,14,9,5,0,High,3.9
B-1001,Tomato,Fresh,C,2026-01-31,2026-02-14,476,Ambient,Houston,R-1001,267,3.34,warehouse,65.4,10,20.6,38.2,1.7380000000000002,Medium,83,14,10,4,0,Medium,5.0
B-1002,Milk,Chilled,A,2026-02-05,2026-02-12,429,Refrigerated,New York,R-1002,284,5.16,warehouse,90.1,4,9.9,80.3,1.565,High,77,7,4,3,0,Medium,5.5
B-1003,Milk,Chilled,B,2026-02-01,2026-02-08,329,Refrigerated,Chicago,R-1003,62,1.09,warehouse,80.1,4,25.0,57.5,1.7147999999999999,Medium,42,7,4,3,0,High,4.0
B-1004,Onion,Fresh,C,2026-02-07,2026-02-21,327,Ambient,Phoenix,R-1004,164,2.41,warehouse,67.4,7,21.4,83.2,1.8536,Medium,99,14,7,7,0,Medium,5.8
B-1005,Fish,Chilled,C,2026-02-06,2026-02-11,243,Refrigerated,Chicago,R-1005,120,2.03,warehouse,94.6,1,20.6,44.8,1.7147999999999999,Medium,52,5,1,4,0,High,4.8
B-1006,Meat,Chilled,B,2026-02-06,2026-02-11,107,Refrigerated,Phoenix,R-1006,159,2.01,warehouse,14.7,9,17.4,48.0,1.8536,Medium,81,5,9,-4,1,High,3.5
B-1007,Milk,Chilled,B,2026-02-04,2026-02-11,461,Refrigerated,New York,R-1007,123,2.32,warehouse,64.7,4,3.9,46.7,1.565,High,77,7,4,3,0,Medium,4.9
B-1008,Fish,Chilled,C,2026-02-08,2026-02-13,88,Refrigerated,Chicago,R-1008,411,7.9,warehouse,69.4,4,11.1,72.1,1.7147999999999999,Medium,52,5,4,1,1,High,3.8
B-1009,Tomato,Fresh,B,2026-02-05,2026-02-19,113,Ambient,Phoenix,R-1009,354,5.8,warehouse,10.9,10,13.2,61.1,1.8536,Medium,95,14,10,4,0,High,3.8
B-1010,Onion,Fresh,B,2026-02-06,2026-02-20,391,Ambient,Houston,R-1010,147,3.5,warehouse,40.6,7,10.6,72.4,1.7380000000000002,Medium,84,14,7,7,0,High,4.4
B-1011,Milk,Chilled,C,2026-02-09,2026-02-16,343,Refrigerated,Chicago,R-1011,368,5.84,direct,84.6,2,13.2,50.3,1.7147999999999999,Medium,42,7,2,5,0,High,3.8
B-1012,Tomato,Fresh,C,2026-02-03,2026-02-17,432,Ambient,Los Angeles,R-1012,227,3.49,direct,72.6,4,23.2,79.6,1.686,Medium,77,14,4,10,0,Medium,5.0
B-1013,Meat,Chilled,C,2026-02-02,2026-02-07,150,Refrigerated,Los Angeles,R-1013,319,5.23,warehouse,9.8,10,12.8,86.2,1.686,Medium,41,5,10,-5,1,High,1.6
B-1014,Onion,Fresh,B,2026-02-08,2026-02-22,146,Ambient,Chicago,R-1014,13,0.3,direct,85.7,3,8.3,74.9,1.7147999999999999,Medium,55,14,3,11,0,Medium,4.8
