batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city
B-1000,Onion,Fresh,C,2026-02-05,2026-02-19,219,Ambient,Phoenix
B-1001,Tomato,Fresh,C,2026-01-31,2026-02-14,476,Ambient,Houston
B-1002,Milk,Chilled,A,2026-02-05,2026-02-12,429,Refrigerated,New York
B-1003,Milk,Chilled,B,2026-02-01,2026-02-08,329,Refrigerated,Chicago
B-1004,Onion,Fresh,C,2026-02-07,2026-02-21,327,Ambient,Phoenix
B-1005,Fish,Chilled,C,2026-02-06,2026-02-11,243,Refrigerated,Chicago
B-1006,Meat,Chilled,B,2026-02-06,2026-02-11,107,Refrigerated,Phoenix
B-1007,Milk,Chilled,B,2026-02-04,2026-02-11,461,Refrigerated,New York
B-1008,Fish,Chilled,C,2026-02-08,2026-02-13,88,Refrigerated,Chicago
B-1009,Tomato,Fresh,B,2026-02-05,2026-02-19,113,Ambient,Phoenix
B-1010,Onion,Fresh,B,2026-02-06,2026-02-20,391,Ambient,Houston
B-1011,Milk,Chilled,C,2026-02-09,2026-02-16,343,Refrigerated,Chicago
B-1012,Tomato,Fresh,C,2026-02-03,2026-02-17,432,Ambient,Los Angeles
B-1013,Meat,Chilled,C,2026-02-02,2026-02-07,150,Refrigerated,Los Angeles
B-1014,Onion,Fresh,B,2026-02-08,2026-02-22,146,Ambient,Chicago
B-1015,Meat,Chilled,B,2026-02-09,2026-02-14,366,Refrigerated,Houston
B-1016,Milk,Chilled,A,2026-02-04,2026-02-11,353,Refrigerated,Phoenix
B-1017,Meat,Chilled,B,2026-02-04,2026-02-09,281,Refrigerated,Los Angeles
B-1018,Tomato,Fresh,A,2026-02-09,2026-02-23,334,Ambient,Houston
B-1019,Milk,Chilled,A,2026-02-04,2026-02-11,406,Refrigerated,Houston
B-1020,Meat,Chilled,C,2026-02-03,2026-02-08,106,Refrigerated,Chicago
B-1021,Milk,Chilled,B,2026-02-07,2026-02-14,492,Refrigerated,Houston
B-1022,Fish,Chilled,A,2026-02-03,2026-02-08,167,Refrigerated,Los Angeles
B-1023,Onion,Fresh,B,2026-01-31,2026-02-14,278,Ambient,Houston
B-1024,Onion,Fresh,B,2026-02-03,2026-02-17,53,Ambient,Los Angeles
B-1025,Fish,Chilled,A,2026-02-08,2026-02-13,456,Refrigerated,New York
B-1026,Onion,Fresh,B,2026-02-04,2026-02-18,406,Ambient,Los Angeles
B-1027,Milk,Chilled,A,2026-02-08,2026-02-15,98,Refrigerated,Los Angeles
B-1028,Meat,Chilled,C,2026-02-05,2026-02-10,174,Refrigerated,Phoenix
B-1029,Tomato,Fresh,A,2026-02-05,2026-02-19,63,Ambient,Los Angeles
B-1030,Onion,Fresh,B,2026-02-07,2026-02-21,398,Ambient,Los Angeles
B-1031,Meat,Chilled,B,2026-02-04,2026-02-09,450,Refrigerated,Houston
B-1032,Meat,Chilled,B,2026-02-02,2026-02-07,262,Refrigerated,Phoenix
B-1033,Onion,Fresh,B,2026-02-09,2026-02-23,159,Ambient,Los Angeles
B-1034,Milk,Chilled,C,2026-02-08,2026-02-15,340,Refrigerated,Los Angeles
B-1035,Fish,Chilled,B,2026-02-06,2026-02-11,446,Refrigerated,Chicago
B-1036,Tomato,Fresh,B,2026-02-02,2026-02-16,382,Ambient,New York
B-1037,Tomato,Fresh,A,2026-02-06,2026-02-20,93,Ambient,Phoenix
B-1038,Milk,Chilled,B,2026-02-05,2026-02-12,411,Refrigerated,Chicago
B-1039,Tomato,Fresh,A,2026-02-05,2026-02-19,469,Ambient,Los Angeles
B-1040,Tomato,Fresh,B,2026-02-04,2026-02-18,431,Ambient,Phoenix
B-1041,Milk,Chilled,B,2026-02-02,2026-02-09,198,Refrigerated,Phoenix
B-1042,Meat,Chilled,B,2026-02-06,2026-02-11,477,Refrigerated,New York
B-1043,Onion,Fresh,B,2026-02-05,2026-02-19,92,Ambient,Houston
B-1044,Meat,Chilled,B,2026-02-01,2026-02-06,119,Refrigerated,New York
B-1045,Onion,Fresh,B,2026-02-05,2026-02-19,493,Ambient,Chicago
B-1046,Onion,Fresh,C,2026-01-31,2026-02-14,73,Ambient,Chicago
B-1047,Onion,Fresh,A,2026-02-05,2026-02-19,331,Ambient,Los Angeles
B-1048,Fish,Chilled,A,2026-01-31,2026-02-05,498,Refrigerated,Los Angeles
B-1049,Meat,Chilled,C,2026-02-01,2026-02-06,471,Refrigerated,Chicago
B-1050,Onion,Fresh,A,2026-02-03,2026-02-17,119,Ambient,New York
B-1051,Fish,Chilled,B,2026-02-09,2026-02-14,397,Refrigerated,Houston
B-1052,Meat,Chilled,A,2026-02-08,2026-02-13,491,Refrigerated,Phoenix
B-1053,Fish,Chilled,A,2026-02-01,2026-02-06,271,Refrigerated,Chicago
B-1054,Milk,Chilled,B,2026-02-09,2026-02-16,460,Refrigerated,Chicago
B-1055,Fish,Chilled,B,2026-02-07,2026-02-12,351,Refrigerated,Phoenix
B-1056,Meat,Chilled,A,2026-02-06,2026-02-11,480,Refrigerated,New York
B-1057,Fish,Chilled,C,2026-01-31,2026-02-05,483,Refrigerated,Chicago
B-1058,Milk,Chilled,C,2026-02-08,2026-02-15,82,Refrigerated,New York
B-1059,Fish,Chilled,C,2026-01-31,2026-02-05,108,Refrigerated,Houston
B-1060,Tomato,Fresh,B,2026-02-03,2026-02-17,136,Ambient,Phoenix
B-1061,Meat,Chilled,C,2026-02-02,2026-02-07,63,Refrigerated,Chicago
B-1062,Meat,Chilled,B,2026-02-03,2026-02-08,368,Refrigerated,Chicago
B-1063,Fish,Chilled,B,2026-02-07,2026-02-12,186,Refrigerated,Phoenix
B-1064,Fish,Chilled,A,2026-02-03,2026-02-08,106,Refrigerated,New York
B-1065,Onion,Fresh,C,2026-02-06,2026-02-20,124,Ambient,Phoenix
B-1066,Tomato,Fresh,A,2026-02-01,2026-02-15,368,Ambient,Phoenix
B-1067,Meat,Chilled,B,2026-02-04,2026-02-09,465,Refrigerated,New York
B-1068,Milk,Chilled,C,2026-02-06,2026-02-13,230,Refrigerated,Houston
B-1069,Meat,Chilled,C,2026-02-04,2026-02-09,421,Refrigerated,New York
B-1070,Onion,Fresh,B,2026-02-07,2026-02-21,181,Ambient,Phoenix
B-1071,Meat,Chilled,A,2026-02-01,2026-02-06,232,Refrigerated,Los Angeles
B-1072,Onion,Fresh,B,2026-02-07,2026-02-21,228,Ambient,New York
B-1073,Onion,Fresh,B,2026-02-06,2026-02-20,450,Ambient,Houston
B-1074,Onion,Fresh,C,2026-02-07,2026-02-21,462,Ambient,Phoenix
B-1075,Fish,Chilled,C,2026-02-09,2026-02-14,301,Refrigerated,New York
B-1076,Tomato,Fresh,C,2026-02-02,2026-02-16,293,Ambient,Phoenix
B-1077,Onion,Fresh,C,2026-02-07,2026-02-21,372,Ambient,Houston
B-1078,Meat,Chilled,C,2026-02-06,2026-02-11,219,Refrigerated,Houston
B-1079,Milk,Chilled,C,2026-02-04,2026-02-11,133,Refrigerated,Chicago
B-1080,Meat,Chilled,A,2026-01-31,2026-02-05,243,Refrigerated,Houston
B-1081,Fish,Chilled,A,2026-02-02,2026-02-07,96,Refrigerated,New York
B-1082,Tomato,Fresh,B,2026-02-01,2026-02-15,339,Ambient,Houston
B-1083,Milk,Chilled,C,2026-02-04,2026-02-11,426,Refrigerated,Houston
B-1084,Milk,Chilled,C,2026-02-08,2026-02-15,498,Refrigerated,New York
B-1085,Milk,Chilled,B,2026-02-02,2026-02-09,130,Refrigerated,Phoenix
B-1086,Milk,Chilled,A,2026-02-09,2026-02-16,462,Refrigerated,New York
B-1087,Onion,Fresh,B,2026-02-05,2026-02-19,396,Ambient,Chicago
B-1088,Meat,Chilled,A,2026-02-04,2026-02-09,116,Refrigerated,Phoenix
B-1089,Fish,Chilled,A,2026-02-03,2026-02-08,360,Refrigerated,New York
B-1090,Tomato,Fresh,A,2026-02-08,2026-02-22,356,Ambient,Phoenix
B-1091,Fish,Chilled,B,2026-02-07,2026-02-12,127,Refrigerated,Phoenix
B-1092,Onion,Fresh,B,2026-02-07,2026-02-21,131,Ambient,New York
B-1093,Meat,Chilled,A,2026-02-06,2026-02-11,405,Refrigerated,Houston
B-1094,Milk,Chilled,B,2026-02-01,2026-02-08,202,Refrigerated,Houston
B-1095,Tomato,Fresh,B,2026-02-04,2026-02-18,419,Ambient,Houston
B-1096,Fish,Chilled,A,2026-02-01,2026-02-06,181,Refrigerated,Los Angeles
B-1097,Fish,Chilled,A,2026-02-01,2026-02-06,377,Refrigerated,Phoenix
B-1098,Milk,Chilled,A,2026-02-04,2026-02-11,348,Refrigerated,New York
B-1099,Meat,Chilled,C,2026-02-08,2026-02-13,219,Refrigerated,Phoenix
B-1100,Milk,Chilled,A,2026-02-04,2026-02-11,268,Refrigerated,Los Angeles
B-1101,Onion,Fresh,A,2026-02-06,2026-02-20,394,Ambient,Phoenix
B-1102,Fish,Chilled,A,2026-02-07,2026-02-12,263,Refrigerated,New York
B-1103,Fish,Chilled,B,2026-02-05,2026-02-10,250,Refrigerated,Chicago
B-1104,Fish,Chilled,C,2026-02-03,2026-02-08,63,Refrigerated,Houston
B-1105,Tomato,Fresh,B,2026-02-02,2026-02-16,140,Ambient,Houston
B-1106,Meat,Chilled,C,2026-02-01,2026-02-06,100,Refrigerated,Los Angeles
B-1107,Milk,Chilled,B,2026-01-31,2026-02-07,346,Refrigerated,Chicago
B-1108,Meat,Chilled,A,2026-02-06,2026-02-11,145,Refrigerated,Phoenix
B-1109,Tomato,Fresh,C,2026-01-31,2026-02-14,274,Ambient,Los Angeles
B-1110,Meat,Chilled,C,2026-02-02,2026-02-07,247,Refrigerated,Los Angeles
B-1111,Meat,Chilled,B,2026-02-03,2026-02-08,477,Refrigerated,Chicago
B-1112,Meat,Chilled,A,2026-02-08,2026-02-13,333,Refrigerated,Chicago
B-1113,Meat,Chilled,A,2026-02-08,2026-02-13,483,Refrigerated,Phoenix
B-1114,Onion,Fresh,A,2026-01-31,2026-02-14,255,Ambient,Chicago
B-1115,Tomato,Fresh,B,2026-02-06,2026-02-20,496,Ambient,Los Angeles
B-1116,Fish,Chilled,B,2026-02-02,2026-02-07,89,Refrigerated,New York
B-1117,Meat,Chilled,B,2026-02-08,2026-02-13,175,Refrigerated,New York
B-1118,Milk,Chilled,C,2026-02-04,2026-02-11,213,Refrigerated,New York
B-1119,Fish,Chilled,B,2026-02-08,2026-02-13,104,Refrigerated,Houston
B-1120,Milk,Chilled,C,2026-02-04,2026-02-11,202,Refrigerated,Phoenix
B-1121,Meat,Chilled,B,2026-02-05,2026-02-10,220,Refrigerated,Phoenix
B-1122,Meat,Chilled,B,2026-02-09,2026-02-14,390,Refrigerated,Houston
B-1123,Meat,Chilled,B,2026-02-06,2026-02-11,95,Refrigerated,New York
B-1124,Milk,Chilled,B,2026-02-02,2026-02-09,248,Refrigerated,Phoenix
B-1125,Onion,Fresh,A,2026-02-07,2026-02-21,267,Ambient,Houston
B-1126,Onion,Fresh,A,2026-02-03,2026-02-17,155,Ambient,Phoenix
B-1127,Onion,Fresh,A,2026-02-09,2026-02-23,455,Ambient,New York
B-1128,Fish,Chilled,C,2026-02-09,2026-02-14,299,Refrigerated,Chicago
B-1129,Tomato,Fresh,B,2026-02-08,2026-02-22,106,Ambient,New York
B-1130,Tomato,Fresh,A,2026-02-07,2026-02-21,119,Ambient,Los Angeles
B-1131,Fish,Chilled,A,2026-02-01,2026-02-06,497,Refrigerated,Los Angeles
B-1132,Milk,Chilled,A,2026-02-06,2026-02-13,490,Refrigerated,Los Angeles
B-1133,Tomato,Fresh,B,2026-02-09,2026-02-23,303,Ambient,Los Angeles
B-1134,Fish,Chilled,A,2026-02-05,2026-02-10,243,Refrigerated,Houston
B-1135,Meat,Chilled,C,2026-02-02,2026-02-07,93,Refrigerated,Chicago
B-1136,Meat,Chilled,C,2026-02-03,2026-02-08,151,Refrigerated,Houston
B-1137,Onion,Fresh,B,2026-02-01,2026-02-15,241,Ambient,Chicago
B-1138,Fish,Chilled,B,2026-02-08,2026-02-13,500,Refrigerated,Houston
B-1139,Meat,Chilled,C,2026-02-06,2026-02-11,423,Refrigerated,New York
B-1140,Fish,Chilled,B,2026-02-07,2026-02-12,251,Refrigerated,Phoenix
B-1141,Meat,Chilled,C,2026-02-04,2026-02-09,498,Refrigerated,Chicago
B-1142,Tomato,Fresh,A,2026-01-31,2026-02-14,309,Ambient,Los Angeles
B-1143,Milk,Chilled,A,2026-01-31,2026-02-07,180,Refrigerated,Los Angeles
B-1144,Onion,Fresh,C,2026-02-02,2026-02-16,487,Ambient,New York
B-1145,Fish,Chilled,B,2026-02-07,2026-02-12,362,Refrigerated,Phoenix
B-1146,Onion,Fresh,A,2026-02-07,2026-02-21,96,Ambient,Chicago
B-1147,Tomato,Fresh,A,2026-02-07,2026-02-21,454,Ambient,New York
B-1148,Onion,Fresh,A,2026-02-09,2026-02-23,482,Ambient,Los Angeles
B-1149,Milk,Chilled,A,2026-02-09,2026-02-16,84,Refrigerated,Los Angeles
B-1150,Milk,Chilled,C,2026-02-07,2026-02-14,429,Refrigerated,Chicago
B-1151,Tomato,Fresh,B,2026-02-04,2026-02-18,130,Ambient,Los Angeles
B-1152,Fish,Chilled,B,2026-02-05,2026-02-10,165,Refrigerated,Houston
B-1153,Meat,Chilled,A,2026-02-02,2026-02-07,125,Refrigerated,Phoenix
B-1154,Milk,Chilled,A,2026-02-05,2026-02-12,470,Refrigerated,Chicago
B-1155,Tomato,Fresh,A,2026-02-04,2026-02-18,477,Ambient,Los Angeles
B-1156,Tomato,Fresh,B,2026-02-03,2026-02-17,194,Ambient,Los Angeles
B-1157,Milk,Chilled,B,2026-02-02,2026-02-09,324,Refrigerated,Houston
B-1158,Onion,Fresh,C,2026-02-05,2026-02-19,273,Ambient,Los Angeles
B-1159,Fish,Chilled,C,2026-01-31,2026-02-05,423,Refrigerated,Los Angeles
B-1160,Onion,Fresh,C,2026-02-03,2026-02-17,350,Ambient,Houston
B-1161,Meat,Chilled,C,2026-02-05,2026-02-10,279,Refrigerated,New York
B-1162,Tomato,Fresh,C,2026-02-02,2026-02-16,447,Ambient,Phoenix
B-1163,Fish,Chilled,C,2026-02-02,2026-02-07,185,Refrigerated,New York
B-1164,Fish,Chilled,C,2026-02-08,2026-02-13,208,Refrigerated,New York
B-1165,Tomato,Fresh,B,2026-02-04,2026-02-18,250,Ambient,Houston
B-1166,Milk,Chilled,A,2026-02-03,2026-02-10,490,Refrigerated,Phoenix
B-1167,Onion,Fresh,C,2026-02-04,2026-02-18,284,Ambient,Phoenix
B-1168,Meat,Chilled,C,2026-02-02,2026-02-07,477,Refrigerated,Houston
B-1169,Tomato,Fresh,A,2026-02-02,2026-02-16,163,Ambient,Los Angeles
B-1170,Fish,Chilled,B,2026-02-09,2026-02-14,477,Refrigerated,Phoenix
B-1171,Fish,Chilled,C,2026-02-05,2026-02-10,212,Refrigerated,Chicago
B-1172,Tomato,Fresh,C,2026-02-03,2026-02-17,273,Ambient,Phoenix
