route_id,batch_id,distance_km,estimated_time_hours,route_type
R-1000,B-1000,500,7.81,direct
R-1001,B-1001,267,3.34,warehouse
R-1002,B-1002,284,5.16,warehouse
R-1003,B-1003,62,1.09,warehouse
R-1004,B-1004,164,2.41,warehouse
R-1005,B-1005,120,2.03,warehouse
R-1006,B-1006,159,2.01,warehouse
R-1007,B-1007,123,2.32,warehouse
R-1008,B-1008,411,7.9,warehouse
R-1009,B-1009,354,5.8,warehouse
R-1010,B-1010,147,3.5,warehouse
R-1011,B-1011,368,5.84,direct
R-1012,B-1012,227,3.49,direct
R-1013,B-1013,319,5.23,warehouse
R-1014,B-1014,13,0.3,direct
R-1015,B-1015,443,9.63,warehouse
R-1016,B-1016,178,4.34,direct
R-1017,B-1017,230,4.18,direct
R-1018,B-1018,324,6.0,direct
R-1019,B-1019,102,2.55,warehouse
R-1020,B-1020,420,6.27,direct
R-1021,B-1021,209,4.75,warehouse
R-1022,B-1022,116,1.78,direct
R-1023,B-1023,43,0.55,direct
R-1024,B-1024,81,1.4,warehouse
R-1025,B-1025,395,5.49,warehouse
R-1026,B-1026,104,1.93,warehouse
R-1027,B-1027,458,8.04,warehouse
R-1028,B-1028,319,6.65,direct
R-1029,B-1029,26,0.55,direct
R-1030,B-1030,339,4.77,direct
R-1031,B-1031,148,2.0,direct
R-1032,B-1032,301,5.02,warehouse
R-1033,B-1033,283,5.55,warehouse
R-1034,B-1034,286,4.21,direct
R-1035,B-1035,335,4.47,warehouse
R-1036,B-1036,91,1.4,warehouse
R-1037,B-1037,369,7.1,direct
R-1038,B-1038,456,7.73,direct
R-1039,B-1039,241,4.92,warehouse
R-1040,B-1040,90,1.15,warehouse
R-1041,B-1041,120,1.88,warehouse
R-1042,B-1042,312,4.88,direct
R-1043,B-1043,274,5.37,direct
R-1044,B-1044,112,2.0,warehouse
R-1045,B-1045,240,5.11,warehouse
R-1046,B-1046,301,5.1,warehouse
R-1047,B-1047,362,8.04,direct
R-1048,B-1048,320,6.15,warehouse
R-1049,B-1049,120,3.0,direct
R-1050,B-1050,28,0.39,warehouse
R-1051,B-1051,201,3.65,direct
R-1052,B-1052,264,3.72,warehouse
R-1053,B-1053,181,2.48,direct
R-1054,B-1054,414,6.0,warehouse
R-1055,B-1055,133,2.56,warehouse
R-1056,B-1056,16,0.2,warehouse
R-1057,B-1057,434,5.71,direct
R-1058,B-1058,262,3.49,direct
R-1059,B-1059,319,4.09,warehouse
R-1060,B-1060,313,6.8,direct
R-1061,B-1061,303,5.94,direct
R-1062,B-1062,402,5.15,direct
R-1063,B-1063,204,2.79,direct
R-1064,B-1064,18,0.43,warehouse
R-1065,B-1065,279,3.49,warehouse
R-1066,B-1066,456,6.91,warehouse
R-1067,B-1067,252,3.88,direct
R-1068,B-1068,96,2.09,direct
R-1069,B-1069,440,6.88,direct
