batch_id,current_freshness,days_in_storage,temperature,humidity
B-1000,13.7,9,15.7,66.9
B-1001,65.4,10,20.6,38.2
B-1002,90.1,4,9.9,80.3
B-1003,80.1,4,25.0,57.5
B-1004,67.4,7,21.4,83.2
B-1005,94.6,1,20.6,44.8
B-1006,14.7,9,17.4,48.0
B-1007,64.7,4,3.9,46.7
B-1008,69.4,4,11.1,72.1
B-1009,10.9,10,13.2,61.1
B-1010,40.6,7,10.6,72.4
B-1011,84.6,2,13.2,50.3
B-1012,72.6,4,23.2,79.6
B-1013,9.8,10,12.8,86.2
B-1014,85.7,3,8.3,74.9
B-1015,14.4,9,15.5,41.6
B-1016,89.3,4,19.6,82.6
B-1017,57.3,10,14.7,88.8
B-1018,65.6,9,20.6,41.3
B-1019,82.9,7,4.1,80.4
B-1020,44.1,6,2.5,52.3
B-1021,90.1,4,4.2,44.7
B-1022,59.7,10,19.0,51.5
B-1023,94.4,2,21.9,41.3
B-1024,24.0,10,23.2,89.4
B-1025,11.4,9,6.8,49.0
B-1026,46.9,6,13.5,58.7
B-1027,77.9,8,7.0,89.9
B-1028,91.8,4,8.3,54.5
B-1029,55.3,9,19.5,83.0
B-1030,48.0,9,21.2,38.4
B-1031,87.1,6,12.6,60.5
B-1032,72.5,9,21.9,48.9
B-1033,52.2,10,10.0,85.2
B-1034,72.5,3,21.2,35.3
B-1035,100.0,0,22.5,62.8
B-1036,67.9,10,11.2,31.3
B-1037,55.2,6,23.3,90.0
B-1038,54.2,9,22.4,52.8
B-1039,95.2,1,10.9,88.1
B-1040,85.5,2,21.0,41.8
B-1041,70.4,3,15.9,63.9
B-1042,79.9,5,9.7,37.7
B-1043,66.2,4,13.5,49.0
B-1044,60.6,8,23.1,54.5
B-1045,32.6,10,4.2,83.7
B-1046,94.8,1,22.7,36.2
B-1047,76.5,6,16.9,48.3
B-1048,92.1,1,22.6,78.1
B-1049,46.7,6,4.1,82.9
B-1050,74.4,4,8.0,40.5
B-1051,29.2,9,24.8,35.0
B-1052,100.0,0,20.9,66.8
B-1053,92.6,1,8.4,51.8
B-1054,87.9,4,5.9,43.9
B-1055,30.2,9,17.5,37.9
B-1056,100.0,0,5.3,78.9
B-1057,93.6,1,9.9,77.8
B-1058,40.4,7,22.8,72.3
B-1059,42.1,6,24.9,80.6
B-1060,100.0,0,11.5,78.6
B-1061,67.6,9,19.2,37.9
B-1062,89.9,5,17.0,32.2
B-1063,85.6,7,5.9,84.7
B-1064,79.1,6,3.2,87.4
B-1065,81.3,6,7.9,33.0
B-1066,83.8,2,22.5,34.2
B-1067,61.0,7,17.6,73.0
B-1068,47.9,8,10.4,61.7
B-1069,94.2,1,20.5,81.2
B-1070,81.4,5,19.9,68.2
B-1071,88.9,2,20.9,34.3
